id_title;title;commentCount;dislikeCount;likeCount;viewCount;commentators_uniq;comments_obscene_cnt;video_age
9781;Земфира – Деньги | Москва (14.12.13);;;;266615;;;1564
9782;Земфира – Если бы | Москва (14.12.13);;14;925;139161;;;1564
9783;Земфира – Жить в твоей голове | Москва (04.08.2018);;76;1062;70759;;;212
9784;Земфира – Жить в твоей голове | Москва (14.12.13);;;;306657;;;1564
9785;Земфира – Итоги | Москва (14.12.13);;13;592;78105;;;1564
9786;Земфира – Кофевино | Москва (14.12.13);;6;332;76787;;;1564
9787;Земфира – Кувырок | Москва (14.12.13);;11;441;84197;;;1564
9788;Земфира – Лондон | Зелёный театр в Земфире;;39;1505;188420;;;1564
9789;Земфира – Любовь как случайная смерть | Москва (14.12.13);;40;1597;221758;;;1564
9790;Земфира – Мачо | Москва (14.12.13);;10;681;122331;;;1564
9791;Земфира – Мы разбиваемся | Москва (14.12.13);;;;866062;;;1564
9792;Земфира – Почему | Москва (14.12.13);;12;483;110879;;;1564
9793;Земфира – Прогулка | Москва (04.08.2018);;15;643;26025;;;212
9794;Земфира – Прогулка | Москва (14.12.13);;5;576;105769;;;1564
9795;Земфира – Прости меня, моя любовь | Москва (14.12.13);;258;7964;1210101;;;1564
9796;Земфира – Рассветы | Москва (14.12.13);;11;595;103195;;;1564
9797;Земфира – Река | Москва (14.12.13);;19;905;136541;;;1564
9798;Земфира – Самолет | Москва (14.12.13);;14;555;112690;;;1564
9799;Земфира – Хочешь | Москва (14.12.13);;38;3135;313602;;;1564
9800;Земфира – Чайка | Москва (14.12.13);;7;449;83154;;;1564
9801;Зенит;1;1;5;791;1;0;1498
9802;Зеркала;0;0;3;246;;;337
9803;Зеркало;23;128;771;50619;9;0;493
9804;Зеркалом блестит река;0;4;82;7395;;;267
9805;Зеркалом блестит река (Live);0;0;1;126;;;278
9806;Зеркалом блестит река (Live);0;0;3;2069;;;1070
9807;Зима;0;0;3;267;;;378
9808;Зимавсегда Ft. Женя Любич - Запуск Сердца (Live);0;0;43;1407;;;345
9809;Зимние сны молодого человека;0;0;3;164;;;295
9810;Злая пуля;0;4;24;3219;;;1498
9811;Злодей и Шапка. FUZZ - 2006;12;6;219;33879;10;0;3808
9812;Злые пули;0;4;60;4640;;;1497
9813;Змей Петров (Пластун);0;1;6;289;;;917
9814;"Знаешь ли ты (Санкт-Петербург, БКЗ, Сольный концерт ""Это же я"")";353;282;6491;585574;257;2;557
9815;Знак;0;0;5;544;;;504
9816;Знак зодиака, тигр;0;0;5;179;;;405
9817;Знаменитые Рапсодии;3;0;32;1194;3;0;287
9818;Значит, ураган;0;0;16;1830;;;275
9819;Зов бездны;0;5;42;4032;;;294
9820;Золотая карусель;0;8;31;1630;;;273
9821;Золотая карусель;0;6;45;2436;;;1575
9822;Золотая кнопка / Песни на ТНТ / Тимати и его игры;1046;212;13434;256075;693;1;357
9823;Золотая свадьба;0;0;3;3039;;;267
9824;Золото на голубом (Live);0;1;10;619;;;289
9825;Золотой граммофон 2012. Ф.Киркоров Я отпускаю тебя;19;5;161;20618;19;0;2229
9826;Золотой граммофон 2017 Стас Михайлов - Ты Всё, Не Зови Не Слышу;20;38;486;78265;15;0;486
9827;Золотые Хиты ЖЕКИ ГРИГОРЬЕВА Трескоеды, трескоедки Видеостудия Джонсон;1;0;15;2411;1;0;374
9828;Золотые купола;0;4;26;2058;;;355
9829;Золотыми Рыбками (prod. by Ivan Martin & Tom Chaos);24;14;421;62832;13;0;1359
9830;"Золотыми рыбками (Санкт-Петербург, БКЗ, Сольный концерт ""Это же я"")";25;9;394;19038;21;0;558
9831;Зомби;1;2;59;5309;;;296
9832;Зомби;0;0;7;1294;;;490
9833;Зона отчуждения;0;0;4;1565;;;153
9834;Зоологги;0;0;2;135;;;295
9835;Зоопарк;0;3;38;1404;;;210
9836;Зоопарк;0;0;43;1833;;;1440
9837;Зоопарк (Live);0;0;1;46;;;210
9838;Зоопарк (Live);0;0;3;95;;;490
9839;Зоопарк (Live);0;0;3;161;;;490
9840;Зу-зу;1;1;13;1636;1;0;304
9841;Зыбаю-позыбаю;0;0;4;440;;;322
9842;И в этом вся моя вина;0;3;13;488;;;152
9843;И кто виноват;0;4;6;582;;;271
9844;И падает снег (feat. Marc Collin, Kevin Seddiki);0;0;11;833;;;1415
9845;И полетим...;0;3;10;3304;;;1148
9846;И полетим...;0;0;1;1289;;;1157
9847;И полетят рубли по ветру;0;2;8;3406;;;267
9848;И снова здравствуйте;0;1;11;11651;;;3106
9849;И снова здравствуйте (Елена Ваенга) НТВ 12.09.2010;29;56;930;153951;13;0;3094
